instance,seed,stage02_2_objective,stage02_3_objective,stage02_2_feasible,stage02_3_feasible,stage02_2_iterations,stage02_3_iterations,stage02_2_exact_charging_calls,stage02_3_exact_charging_calls,stage02_3_cache_hits,stage02_3_cache_misses,stage02_3_runtime_seconds,stage02_3_removal_tier_counts,stage02_3_failure_events,stage02_3_accepted_moves,stage02_3_constraint_statistics,objective_comparison,readiness_status
c101C5,2014,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,60,60,6779,60,0.0804955829953542,"{""large"":332,""medium"":0,""small"":4}",406,755,"{""shaw_related"":{""accepted"":85,""best"":1,""calls"":85,""candidate_proposals"":170,""distance_improvements"":1,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":85,""feasible_repairs"":85,""improved"":1,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":97,""best"":0,""calls"":97,""candidate_proposals"":194,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":97,""feasible_repairs"":97,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c101C5,2015,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,60,60,6539,60,0.07899008400272578,"{""large"":332,""medium"":0,""small"":4}",386,779,"{""shaw_related"":{""accepted"":86,""best"":1,""calls"":86,""candidate_proposals"":172,""distance_improvements"":1,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":86,""feasible_repairs"":86,""improved"":1,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":79,""best"":0,""calls"":79,""candidate_proposals"":158,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":79,""feasible_repairs"":79,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c101C5,2016,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",True,True,1000,1000,60,60,6685,60,0.07949437500792556,"{""large"":332,""medium"":0,""small"":4}",371,763,"{""shaw_related"":{""accepted"":87,""best"":1,""calls"":87,""candidate_proposals"":174,""distance_improvements"":1,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":1,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2014,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,58,58,9190,58,0.07205937500111759,"{""large"":332,""medium"":0,""small"":4}",377,876,"{""shaw_related"":{""accepted"":85,""best"":0,""calls"":85,""candidate_proposals"":170,""distance_improvements"":0,""exact_route_evaluations"":1,""failure_reasons"":{},""feasible_candidates"":85,""feasible_repairs"":85,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":97,""best"":0,""calls"":97,""candidate_proposals"":194,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":97,""feasible_repairs"":97,""improved"":0,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2015,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,58,58,9162,58,0.0714125420054188,"{""large"":332,""medium"":0,""small"":4}",307,890,"{""shaw_related"":{""accepted"":86,""best"":0,""calls"":86,""candidate_proposals"":172,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":86,""feasible_repairs"":86,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":79,""best"":0,""calls"":79,""candidate_proposals"":158,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":79,""feasible_repairs"":79,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
r105C5,2016,"[2,156.082069464,44.159902941,2]","[2,156.082069464,44.159902941,2]",True,True,1000,1000,58,58,9229,58,0.07218204200034961,"{""large"":332,""medium"":0,""small"":4}",300,881,"{""shaw_related"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":78,""best"":0,""calls"":78,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":78,""feasible_repairs"":78,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2014,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,50,54,8853,54,0.07758941600332037,"{""large"":332,""medium"":0,""small"":4}",486,916,"{""shaw_related"":{""accepted"":69,""best"":0,""calls"":85,""candidate_proposals"":154,""distance_improvements"":0,""exact_route_evaluations"":3,""failure_reasons"":{""candidate_rejected"":16,""constraint_removal_no_existing_route_insertion"":16},""feasible_candidates"":69,""feasible_repairs"":69,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":16,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":10,""best"":1,""calls"":97,""candidate_proposals"":107,""distance_improvements"":1,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":87,""constraint_removal_no_existing_route_insertion"":87},""feasible_candidates"":10,""feasible_repairs"":10,""improved"":1,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":87,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":76,""best"":0,""calls"":76,""candidate_proposals"":152,""distance_improvements"":0,""exact_route_evaluations"":1,""failure_reasons"":{},""feasible_candidates"":76,""feasible_repairs"":76,""improved"":0,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":9,""best"":0,""calls"":78,""candidate_proposals"":87,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":69,""constraint_removal_no_existing_route_insertion"":69},""feasible_candidates"":9,""feasible_repairs"":9,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":69,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2015,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,50,54,8815,54,0.07664899999508634,"{""large"":332,""medium"":0,""small"":4}",487,923,"{""shaw_related"":{""accepted"":70,""best"":0,""calls"":86,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":4,""failure_reasons"":{""candidate_rejected"":16,""constraint_removal_no_existing_route_insertion"":16},""feasible_candidates"":70,""feasible_repairs"":70,""improved"":0,""new_routes_created"":0,""prefilter_passed"":172,""prefilter_rejected"":0,""rejected"":16,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":5,""best"":1,""calls"":87,""candidate_proposals"":92,""distance_improvements"":1,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":82,""constraint_removal_no_existing_route_insertion"":82},""feasible_candidates"":5,""feasible_repairs"":5,""improved"":1,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":82,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":84,""best"":0,""calls"":84,""candidate_proposals"":168,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":84,""feasible_repairs"":84,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":7,""best"":0,""calls"":79,""candidate_proposals"":86,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":72,""constraint_removal_no_existing_route_insertion"":72},""feasible_candidates"":7,""feasible_repairs"":7,""improved"":0,""new_routes_created"":0,""prefilter_passed"":158,""prefilter_rejected"":0,""rejected"":72,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
rc105C5,2016,"[2,241.296391877,59.789763586,3]","[2,241.296391877,59.789763586,3]",True,True,1000,1000,50,54,8928,54,0.07668625000223983,"{""large"":332,""medium"":0,""small"":4}",502,900,"{""shaw_related"":{""accepted"":69,""best"":0,""calls"":87,""candidate_proposals"":156,""distance_improvements"":0,""exact_route_evaluations"":5,""failure_reasons"":{""candidate_rejected"":18,""constraint_removal_no_existing_route_insertion"":18},""feasible_candidates"":69,""feasible_repairs"":69,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":18,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":1,""best"":1,""calls"":78,""candidate_proposals"":79,""distance_improvements"":1,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":77,""constraint_removal_no_existing_route_insertion"":77},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":1,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":77,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":87,""best"":0,""calls"":87,""candidate_proposals"":174,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{},""feasible_candidates"":87,""feasible_repairs"":87,""improved"":0,""new_routes_created"":0,""prefilter_passed"":174,""prefilter_rejected"":0,""rejected"":0,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":1,""best"":0,""calls"":84,""candidate_proposals"":85,""distance_improvements"":0,""exact_route_evaluations"":0,""failure_reasons"":{""candidate_rejected"":83,""constraint_removal_no_existing_route_insertion"":83},""feasible_candidates"":1,""feasible_repairs"":1,""improved"":0,""new_routes_created"":0,""prefilter_passed"":168,""prefilter_rejected"":0,""rejected"":83,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
c104C10,2014,"[2,273.931237129,589.151039592,3]","[2,273.931237129,589.151039592,3]",True,True,1000,1000,2050,2456,42373,2456,1.3887024169962388,"{""large"":324,""medium"":1,""small"":11}",669,794,"{""shaw_related"":{""accepted"":26,""best"":0,""calls"":85,""candidate_proposals"":111,""distance_improvements"":0,""exact_route_evaluations"":252,""failure_reasons"":{""candidate_rejected"":59,""evaluation_budget_exhausted"":59},""feasible_candidates"":26,""feasible_repairs"":26,""improved"":0,""new_routes_created"":0,""prefilter_passed"":170,""prefilter_rejected"":0,""rejected"":59,""vehicle_reductions"":0,""weight"":1.0},""station_pressure"":{""accepted"":83,""best"":1,""calls"":97,""candidate_proposals"":180,""distance_improvements"":1,""exact_route_evaluations"":60,""failure_reasons"":{""candidate_rejected"":14,""evaluation_budget_exhausted"":14},""feasible_candidates"":83,""feasible_repairs"":83,""improved"":1,""new_routes_created"":0,""prefilter_passed"":194,""prefilter_rejected"":0,""rejected"":14,""vehicle_reductions"":0,""weight"":1.0},""time_window_conflict"":{""accepted"":63,""best"":1,""calls"":76,""candidate_proposals"":139,""distance_improvements"":2,""exact_route_evaluations"":58,""failure_reasons"":{""candidate_rejected"":13,""evaluation_budget_exhausted"":13},""feasible_candidates"":63,""feasible_repairs"":63,""improved"":2,""new_routes_created"":0,""prefilter_passed"":152,""prefilter_rejected"":0,""rejected"":13,""vehicle_reductions"":0,""weight"":1.0},""worst_energy_detour"":{""accepted"":70,""best"":0,""calls"":78,""candidate_proposals"":148,""distance_improvements"":0,""exact_route_evaluations"":39,""failure_reasons"":{""candidate_rejected"":8,""evaluation_budget_exhausted"":8},""feasible_candidates"":70,""feasible_repairs"":70,""improved"":0,""new_routes_created"":0,""prefilter_passed"":156,""prefilter_rejected"":0,""rejected"":8,""vehicle_reductions"":0,""weight"":1.0}}",equal,ready
