instance,baseline,candidate,metric,statistic,baseline_value,candidate_value,absolute_delta,relative_delta,classification,gate_status,reason
c101C5,stage02_2,stage02_constraint_guided,objective,best,"[2,257.747451864,472.556700052,3]","[2,257.747451864,472.556700052,3]",,,equal,pass,vehicle-first objective comparison
c101C5,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_2,stage02_constraint_guided,total_distance,mean,257.7474518641999,257.7474518641999,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_2,stage02_constraint_guided,total_charging_time,mean,472.55670005197175,472.55670005197175,0.0,0.0,unchanged,pass,descriptive comparison
c101C5,stage02_2,stage02_constraint_guided,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,objective,best,"[12,1055.920259047,1386.415951629,8]","[12,1075.40262396,1228.688403168,7]",,,worse,fail,vehicle-first objective comparison
c101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,12.0,12.0,0.0,0.0,unchanged,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1062.8618914331591,1086.256730094737,23.39483866157775,0.02201117459393735,regression,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,1332.7144308589852,1303.2611107348932,-29.453320124091988,-0.02210024851693712,improvement,pass,descriptive comparison
c101_21,stage02_2,stage02_constraint_guided,charging_count,mean,7.666666666666667,7.666666666666667,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,objective,best,"[2,273.931237129,589.151039592,3]","[2,279.933119059,580.401779332,3]",,,worse,fail,vehicle-first objective comparison
c104C10,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,total_distance,mean,277.93249174868214,279.9331190586651,2.000627309982974,0.007198249105009365,regression,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,total_charging_time,mean,613.2962708750043,595.3908150604958,-17.905455814508514,-0.02919544217831681,improvement,pass,descriptive comparison
c104C10,stage02_2,stage02_constraint_guided,charging_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,objective,best,"[3,275.133168873,437.989595186,2]","[3,275.133168873,437.989595186,2]",,,equal,pass,vehicle-first objective comparison
c106C15,stage02_2,stage02_constraint_guided,vehicle_count,mean,3.0,3.0,0.0,0.0,unchanged,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,total_distance,mean,275.1331688731623,290.50642212911356,15.373253255951283,0.05587568128886135,regression,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,total_charging_time,mean,437.98959518620296,457.2149510150116,19.22535582880863,0.04389454918588953,regression,pass,descriptive comparison
c106C15,stage02_2,stage02_constraint_guided,charging_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,objective,best,"[20,1799.548688513,463.254013128,27]","[20,1726.890649582,408.310309901,24]",,,better,pass,vehicle-first objective comparison
r101_21,stage02_2,stage02_constraint_guided,vehicle_count,mean,20.666666666666668,20.666666666666668,0.0,0.0,unchanged,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,total_distance,mean,1812.683201209865,1789.108327600262,-23.574873609602946,-0.013005512267045908,improvement,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,total_charging_time,mean,449.3485036151181,414.2861594803514,-35.062344134766704,-0.07802928874288355,improvement,pass,descriptive comparison
r101_21,stage02_2,stage02_constraint_guided,charging_count,mean,26.333333333333332,24.666666666666668,-1.6666666666666643,-0.06329113924050624,improvement,pass,descriptive comparison
r103C10,stage02_2,stage02_constraint_guided,objective,best,"[2,207.051154172,49.247992351,3]","[2,207.051154172,49.247992351,3]",,,equal,pass,vehicle-first objective comparison
r103C10,stage02_2,stage02_constraint_guided,vehicle_count,mean,2.0,2.0,0.0,0.0,unchanged,pass,descriptive comparison
r103C10,stage02_2,stage02_constraint_guided,total_distance,mean,207.85586985323093,207.0511541721048,-0.8047156811261402,-0.0038715080872835485,improvement,pass,descriptive comparison
r103C10,stage02_2,stage02_constraint_guided,total_charging_time,mean,48.75151234354644,49.24799235093133,0.4964800073848892,0.01018388935067799,regression,pass,descriptive comparison
