axis,backend,budget_exhaustions,completed_calls,exact_call_budget,instance,interrupted_calls,mode,schema_version,seed,started_calls,watchdog_seconds
serial_fixed_exact_calls,cpu_batch,0,2,100,c101C5,0,exact_call_budget,stage033-exact-deadline-v1,2014,2,120.0
parallel_fixed_exact_calls,cpu_batch,0,2,100,c101C5,0,exact_call_budget,stage033-exact-deadline-v1,2014,2,120.0
serial_wall_clock,cpu_batch,0,2,,c101C5,0,wall_clock,stage033-exact-deadline-v1,2014,2,
parallel_wall_clock,cpu_batch,0,2,,c101C5,0,wall_clock,stage033-exact-deadline-v1,2014,2,
serial_fixed_exact_calls,cpu_batch,0,2,100,c101C5,0,exact_call_budget,stage033-exact-deadline-v1,2015,2,120.0
parallel_fixed_exact_calls,cpu_batch,0,2,100,c101C5,0,exact_call_budget,stage033-exact-deadline-v1,2015,2,120.0
serial_wall_clock,cpu_batch,0,2,,c101C5,0,wall_clock,stage033-exact-deadline-v1,2015,2,
parallel_wall_clock,cpu_batch,0,2,,c101C5,0,wall_clock,stage033-exact-deadline-v1,2015,2,
serial_fixed_exact_calls,cpu_batch,0,2,100,c101C5,0,exact_call_budget,stage033-exact-deadline-v1,2016,2,120.0
parallel_fixed_exact_calls,cpu_batch,0,2,100,c101C5,0,exact_call_budget,stage033-exact-deadline-v1,2016,2,120.0
serial_wall_clock,cpu_batch,0,2,,c101C5,0,wall_clock,stage033-exact-deadline-v1,2016,2,
parallel_wall_clock,cpu_batch,0,2,,c101C5,0,wall_clock,stage033-exact-deadline-v1,2016,2,
serial_fixed_exact_calls,cpu_batch,0,22,100,c101_21,0,exact_call_budget,stage033-exact-deadline-v1,2014,22,120.0
parallel_fixed_exact_calls,cpu_batch,0,22,100,c101_21,0,exact_call_budget,stage033-exact-deadline-v1,2014,22,120.0
serial_wall_clock,cpu_batch,0,24,,c101_21,0,wall_clock,stage033-exact-deadline-v1,2014,24,
parallel_wall_clock,cpu_batch,0,24,,c101_21,0,wall_clock,stage033-exact-deadline-v1,2014,24,
serial_fixed_exact_calls,cpu_batch,0,22,100,c101_21,0,exact_call_budget,stage033-exact-deadline-v1,2015,22,120.0
parallel_fixed_exact_calls,cpu_batch,0,22,100,c101_21,0,exact_call_budget,stage033-exact-deadline-v1,2015,22,120.0
serial_wall_clock,cpu_batch,0,26,,c101_21,0,wall_clock,stage033-exact-deadline-v1,2015,26,
parallel_wall_clock,cpu_batch,0,26,,c101_21,0,wall_clock,stage033-exact-deadline-v1,2015,26,
serial_fixed_exact_calls,cpu_batch,0,20,100,c101_21,0,exact_call_budget,stage033-exact-deadline-v1,2016,20,120.0
parallel_fixed_exact_calls,cpu_batch,0,20,100,c101_21,0,exact_call_budget,stage033-exact-deadline-v1,2016,20,120.0
serial_wall_clock,cpu_batch,0,24,,c101_21,0,wall_clock,stage033-exact-deadline-v1,2016,24,
parallel_wall_clock,cpu_batch,0,24,,c101_21,0,wall_clock,stage033-exact-deadline-v1,2016,24,
serial_fixed_exact_calls,cpu_batch,0,20,100,c104C10,0,exact_call_budget,stage033-exact-deadline-v1,2014,20,120.0
parallel_fixed_exact_calls,cpu_batch,0,20,100,c104C10,0,exact_call_budget,stage033-exact-deadline-v1,2014,20,120.0
serial_wall_clock,cpu_batch,0,67,,c104C10,0,wall_clock,stage033-exact-deadline-v1,2014,67,
