acceptance_trajectory_hash,axis,backend,candidate_reconciliation_valid,candidate_work_hash,completed_calls,effective_iterations,exact_reconciliation_valid,inherited_initial_solution_valid,instance,objective_key,objective_not_worse,paired_semantics_valid,parallel_ordering_valid,route_result_hash,seed,started_calls,termination_reason,unchanged_exact_calls,valid
e20496b1c4b7f90877d716c71fe2f7a26927a59f1d2aecdad6c5088c8b601fa8,serial_fixed_exact_calls,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,candidate_control_exhausted,0,True
e20496b1c4b7f90877d716c71fe2f7a26927a59f1d2aecdad6c5088c8b601fa8,parallel_fixed_exact_calls,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,candidate_control_exhausted,0,True
01411c2257f03bd0819c939bdd7cd4379b66c80824fb9db57dbe333fc4ee881e,serial_wall_clock,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,iteration_limit,0,True
01411c2257f03bd0819c939bdd7cd4379b66c80824fb9db57dbe333fc4ee881e,parallel_wall_clock,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2014,2,iteration_limit,0,True
f6cdcf6b890a18dfb52328e7c6173718cd5b2e125943dfd64217538b80f2ef0b,serial_fixed_exact_calls,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,candidate_control_exhausted,0,True
f6cdcf6b890a18dfb52328e7c6173718cd5b2e125943dfd64217538b80f2ef0b,parallel_fixed_exact_calls,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,candidate_control_exhausted,0,True
5034a91d47db9bb6d8dbd685a929d6662511faccee16e637059086e8a5f6cd7c,serial_wall_clock,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,iteration_limit,0,True
5034a91d47db9bb6d8dbd685a929d6662511faccee16e637059086e8a5f6cd7c,parallel_wall_clock,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2015,2,iteration_limit,0,True
a0c8c4407d1ae38f43135772f1e2aaa96ccd57a8308736292633e14e55890dec,serial_fixed_exact_calls,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,candidate_control_exhausted,0,True
a0c8c4407d1ae38f43135772f1e2aaa96ccd57a8308736292633e14e55890dec,parallel_fixed_exact_calls,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,50,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,candidate_control_exhausted,0,True
0f9f8f1ec65764a211f00bbc7919480be10c2a1440c797ddd025ea02b2cceb25,serial_wall_clock,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,iteration_limit,0,True
0f9f8f1ec65764a211f00bbc7919480be10c2a1440c797ddd025ea02b2cceb25,parallel_wall_clock,cpu_batch,True,aa51844a5d20339371a8767d7ed605f5bdab6137d79a0b406b84f2f453f7aede,2,1000,True,True,c101C5,"[2,257.747451864,472.556700052,3]",True,True,True,5c6a40c1779b9262ba7202463c36bd70a8633b15ad2f2231f8429103fe43886b,2016,2,iteration_limit,0,True
